sample	cRegMap	Verhaak	lucgar
GBM016_Rc	CL-C	Classical	MTC
GBM017_Pr	CL-B	Classical	MTC
GBM018_Pr	PN	Classical	PPR
GBM021_Pr	CL-A	Classical	PPR
GBM022_Pr	NL	Neural	NEU
GBM023_Pr	PN-L	Classical	MTC
GBM025_Pr	MES	Proneural	GPM
GBM026_Rc	PN-L	Proneural	PPR
GBM027_Rc	CL-C	Neural	MTC
GBM028_Rc	PN-L	Neural	GPM
GBM029_Rc	PN	Proneural	PPR
GBM030_Pr	MES	Classical	MTC
GBM031_Rc	MES	Mesenchymal	GPM
GBM034_Pr	MES	Classical	PPR
GBM035_Rc	CL-C	Classical	MTC
GBM036_Pr	PN	Proneural	MTC
GBM037_Rc	MES	Mesenchymal	GPM
GBM038_Pr	MES	Classical	MTC
GBM039_Rc	CL-B	Classical	MTC
GBM042_Pr	MES	Classical	MTC
GBM043_Pr	CL-C	Neural	PPR
GBM044_Pr	CL-A	Classical	MTC
GBM045_Pr	CL-A	Classical	MTC
GBM046_Pr	PN	Proneural	PPR
GBM048_Rc	MES	Mesenchymal	GPM
GBM049_Rc	PN	Proneural	PPR
GBM050_Rc	NL	Neural	MTC
GBM051_Rc	NL	Neural	NEU
GBM052_Rc	PN	Proneural	PPR
GSM1467012	PN	Classical	NEU
GSM1467013	PN	Proneural	PPR
GSM1467014	CL-A	Classical	PPR
GSM1467015	CL-C	Neural	PPR
GSM1467016	MES	Mesenchymal	MTC
GSM1467017	CL-A	Classical	MTC
GSM1467018	MES	Mesenchymal	GPM
GSM1467019	MES	Classical	GPM
GSM1467020	MES	Mesenchymal	GPM
GSM1467021	NL	Proneural	NEU
GSM1467022	NL	Neural	NEU
GSM1467023	CL-B	Classical	NEU
GSM1467024	NL	Classical	MTC
GSM1467025	MES	Mesenchymal	GPM
GSM1467026	PN	Proneural	PPR
GSM1467027	CL-C	Neural	GPM
GSM1467028	CL-B	Classical	MTC
GSM1467029	PN	Proneural	PPR
GSM1467030	NL	Classical	NEU
GSM1467031	MES	Mesenchymal	GPM
GSM1467032	CL-C	Classical	MTC
GSM1467033	PN	Classical	PPR
GSM1467034	CL-C	Classical	MTC
GSM187153	CL-A	Neural	MTC
GSM187154	CL-C	Classical	PPR
GSM187155	PN	Proneural	PPR
GSM187157	PN	Proneural	MTC
GSM187158	CL-A	Classical	GPM
GSM187159	PN	Proneural	MTC
GSM187160	PN	Proneural	PPR
GSM187161	NL	Classical	NEU
GSM187162	CL-A	Classical	PPR
GSM187163	PN	Proneural	PPR
GSM187164	CL-C	Neural	MTC
GSM187165	PN	Proneural	NEU
GSM187166	PN	Proneural	PPR
GSM187167	NL	Neural	NEU
GSM187168	MES	Classical	GPM
GSM187169	CL-A	Classical	PPR
GSM187171	CL-A	Classical	PPR
GSM187172	NL	Classical	NEU
GSM187174	MES	Mesenchymal	GPM
GSM187175	CL-A	Classical	PPR
GSM187176	CL-A	Classical	PPR
GSM187177	CL-C	Neural	PPR
GSM187178	CL-A	Classical	GPM
GSM187179	CL-B	Classical	MTC
GSM187181	PN-L	Proneural	PPR
GSM187182	CL-A	Classical	GPM
GSM187183	PN-L	Proneural	GPM
GSM187184	NL	Classical	NEU
GSM187185	CL-C	Classical	MTC
GSM187186	MES	Mesenchymal	PPR
GSM187187	CL-B	Classical	MTC
GSM187188	CL-A	Classical	GPM
GSM187189	CL-C	Mesenchymal	PPR
GSM187190	CL-B	Classical	MTC
GSM187191	MES	Classical	GPM
GSM187192	MES	Mesenchymal	GPM
GSM187193	CL-B	Classical	NEU
GSM187194	CL-A	Classical	GPM
GSM187195	NL	Classical	MTC
GSM187196	PN	Proneural	PPR
GSM187197	MES	Mesenchymal	GPM
GSM187198	CL-A	Classical	PPR
GSM187199	CL-C	Classical	MTC
GSM187200	MES	Mesenchymal	GPM
GSM187201	CL-A	Classical	MTC
GSM187202	CL-A	Neural	PPR
GSM187203	CL-C	Classical	MTC
GSM187204	PN	Proneural	PPR
GSM187205	CL-A	Classical	PPR
GSM187206	CL-B	Mesenchymal	GPM
GSM187207	CL-C	Neural	MTC
GSM187208	CL-A	Classical	PPR
GSM187209	MES	Classical	GPM
GSM187210	CL-A	Classical	PPR
GSM187211	CL-A	Classical	PPR
GSM187212	MES	Classical	GPM
GSM187213	CL-C	Classical	MTC
GSM187214	CL-C	Classical	MTC
GSM187215	PN-L	Proneural	GPM
GSM187216	PN	Proneural	PPR
GSM187217	PN	Proneural	PPR
GSM187218	PN-L	Proneural	NEU
GSM187219	CL-C	Neural	MTC
GSM187220	CL-A	Classical	PPR
GSM187221	MES	Mesenchymal	GPM
GSM187222	MES	Classical	GPM
GSM187223	PN	Proneural	MTC
GSM187224	MES	Mesenchymal	MTC
