sample	cRegMap	Verhaak	lucgar
TCGA-41-3393	MES	Mesenchymal	GPM
TCGA-06-0177	PN	Proneural	MTC
TCGA-02-0026	PN	Proneural	PPR
TCGA-28-1755	CL-A	Classical	PPR
TCGA-12-0656	CL-B	Classical	MTC
TCGA-02-0087	PN-L	Proneural	MTC
TCGA-02-0051	MES	Mesenchymal	PPR
TCGA-28-1751	MES	Mesenchymal	GPM
TCGA-28-5214	MES	Mesenchymal	MTC
TCGA-12-0692	CL-C	Classical	PPR
TCGA-08-0524	PN	Proneural	PPR
TCGA-19-1786	CL-C	Classical	NEU
TCGA-26-1443	CL-A	Classical	MTC
TCGA-14-1459	CL-C	Neural	PPR
TCGA-06-0412	MES	Mesenchymal	GPM
TCGA-19-0962	CL-C	Mesenchymal	NEU
TCGA-19-5959	CL-C	Classical	nc
TCGA-12-3644	PN	Neural	MTC
TCGA-08-0531	CL-A	Classical	MTC
TCGA-26-1799	CL-C	Neural	NEU
TCGA-08-0358	CL-B	Classical	MTC
TCGA-02-0269	CL-B	Classical	MTC
TCGA-02-0106	MES	Mesenchymal	PPR
TCGA-02-0271	CL-C	Classical	PPR
TCGA-76-6285	PN	Proneural	nc
TCGA-02-0321	CL-B	Proneural	MTC
TCGA-02-0430	CL-A	Classical	PPR
TCGA-06-0175	MES	Mesenchymal	PPR
TCGA-06-0192	MES	Mesenchymal	GPM
TCGA-28-1750	MES	Mesenchymal	GPM
TCGA-26-1440	CL-C	Classical	MTC
TCGA-02-0023	CL-B	Classical	NEU
TCGA-12-1089	CL-C	Neural	NEU
TCGA-28-1745	CL-B	Mesenchymal	MTC
TCGA-02-0025	MES	Mesenchymal	GPM
TCGA-02-0068	CL-B	Classical	MTC
TCGA-08-0345	CL-B	Proneural	GPM
TCGA-19-1789	CL-C	Classical	NEU
TCGA-12-0657	CL-A	Classical	MTC
TCGA-41-2575	CL-C	Proneural	PPR
TCGA-06-0875	PN	Proneural	MTC
TCGA-08-0346	MES	Mesenchymal	GPM
TCGA-19-1790	MES	Mesenchymal	GPM
TCGA-12-0820	CL-B	Classical	MTC
TCGA-06-0394	CL-A	Classical	GPM
TCGA-14-1795	PN	Proneural	NEU
TCGA-08-0392	MES	Mesenchymal	MTC
TCGA-02-0451	NL	Neural	MTC
TCGA-19-2631	CL-C	Classical	PPR
TCGA-12-1093	MES	Mesenchymal	GPM
TCGA-12-0772	MES	Mesenchymal	GPM
TCGA-16-0849	PN-L	Proneural	NEU
TCGA-06-1802	CL-B	Mesenchymal	GPM
TCGA-12-0688	CL-A	Classical	PPR
TCGA-06-0650	MES	Mesenchymal	nc
TCGA-14-1453	CL-A	Classical	PPR
TCGA-32-1978	CL-C	Classical	PPR
TCGA-19-0955	CL-C	Classical	MTC
TCGA-02-0016	CL-B	Classical	MTC
TCGA-12-1088	MES	Mesenchymal	GPM
TCGA-12-3648	CL-A	Classical	MTC
TCGA-02-0456	MES	Mesenchymal	GPM
TCGA-06-0939	CL-B	Neural	MTC
TCGA-06-0149	MES	Mesenchymal	MTC
TCGA-08-0389	PN	Neural	PPR
TCGA-06-0162	CL-B	Neural	MTC
TCGA-19-5952	MES	Classical	nc
TCGA-19-1788	PN-L	Proneural	NEU
TCGA-16-0850	PN	Proneural	PPR
TCGA-19-1389	MES	Mesenchymal	GPM
TCGA-16-1062	CL-A	Classical	PPR
TCGA-32-1987	CL-C	Mesenchymal	GPM
TCGA-06-6389	PN-L	Proneural	nc
TCGA-08-0349	CL-B	Neural	NEU
TCGA-19-2621	CL-C	Classical	PPR
TCGA-06-0397	MES	Mesenchymal	GPM
TCGA-02-0014	PN	Proneural	PPR
TCGA-06-0208	CL-C	Neural	MTC
TCGA-06-0145	CL-C	Classical	MTC
TCGA-02-0083	CL-C	Neural	PPR
TCGA-02-0038	CL-C	Classical	MTC
TCGA-02-0058	PN-L	Proneural	NEU
TCGA-06-0237	CL-C	Neural	PPR
TCGA-02-0113	CL-B	Neural	MTC
TCGA-06-0137	CL-C	Classical	GPM
TCGA-02-0011	PN-L	Proneural	MTC
TCGA-02-0028	PN	Proneural	PPR
TCGA-06-0124	MES	Mesenchymal	GPM
TCGA-02-0107	MES	Mesenchymal	GPM
TCGA-06-0148	CL-A	Classical	PPR
TCGA-02-0006	MES	Mesenchymal	nc
TCGA-06-0221	PN	Neural	MTC
TCGA-02-0116	CL-B	Mesenchymal	MTC
TCGA-02-0034	MES	Mesenchymal	GPM
TCGA-06-0213	CL-B	Neural	MTC
TCGA-06-0147	MES	Mesenchymal	MTC
TCGA-02-0064	MES	Mesenchymal	GPM
TCGA-06-0201	PN	Mesenchymal	PPR
TCGA-06-0143	MES	Mesenchymal	GPM
TCGA-06-0169	CL-B	Mesenchymal	GPM
TCGA-02-0086	MES	Mesenchymal	GPM
TCGA-02-0037	CL-A	Classical	nc
TCGA-02-0099	CL-C	Mesenchymal	GPM
TCGA-02-0102	CL-A	Classical	GPM
TCGA-06-0139	MES	Mesenchymal	GPM
TCGA-06-0197	MES	Mesenchymal	GPM
TCGA-02-0060	NL	Proneural	NEU
TCGA-02-0003	PN	Proneural	NEU
TCGA-02-0046	PN	Proneural	PPR
TCGA-06-0188	CL-C	Neural	PPR
TCGA-06-0154	MES	Mesenchymal	PPR
TCGA-06-0126	CL-C	Classical	NEU
TCGA-02-0080	PN-L	Proneural	MTC
TCGA-02-0043	PN	Classical	PPR
TCGA-02-0085	NL	Mesenchymal	NEU
TCGA-02-0089	CL-C	Neural	NEU
TCGA-02-0057	NL	Neural	MTC
TCGA-02-0033	MES	Mesenchymal	GPM
TCGA-06-0133	CL-C	Neural	MTC
TCGA-06-0166	PN	Proneural	PPR
TCGA-02-0021	CL-B	Classical	MTC
TCGA-06-0214	PN	Neural	MTC
TCGA-02-0001	MES	Classical	NEU
TCGA-02-0114	PN	Proneural	PPR
TCGA-06-0171	PN	Neural	GPM
TCGA-02-0115	CL-C	Neural	NEU
TCGA-02-0071	CL-A	Classical	GPM
TCGA-02-0075	MES	Mesenchymal	GPM
TCGA-02-0009	CL-C	Classical	PPR
TCGA-06-0189	MES	Mesenchymal	GPM
TCGA-06-0185	CL-C	Neural	MTC
TCGA-06-0176	MES	Mesenchymal	GPM
TCGA-02-0027	PN	Classical	NEU
TCGA-02-0024	PN	Proneural	NEU
TCGA-02-0054	CL-C	Mesenchymal	MTC
TCGA-02-0074	PN	Proneural	PPR
TCGA-06-0173	PN	Neural	PPR
TCGA-06-0122	MES	Mesenchymal	GPM
TCGA-06-0195	PN	Neural	NEU
TCGA-02-0069	PN	Proneural	PPR
TCGA-02-0052	PN	Neural	MTC
TCGA-06-0206	MES	Mesenchymal	MTC
TCGA-06-0241	PN	Proneural	PPR
TCGA-02-0010	PN	Proneural	PPR
TCGA-06-0128	PN-L	Proneural	MTC
TCGA-02-0007	CL-C	Proneural	MTC
GSM1060032	CL-B	Classical	MTC
GSM1060033	CL-A	Classical	PPR
GSM1060034	CL-A	Classical	PPR
GSM1060035	CL-A	Classical	PPR
GSM1060036	CL-A	Proneural	PPR
GSM1060037	PN	Classical	PPR
GSM1060038	CL-A	Classical	MTC
GSM1060039	CL-C	Neural	MTC
GSM1060040	MES	Neural	MTC
GSM1060041	CL-B	Proneural	MTC
GSM1060042	PN	Proneural	NEU
GSM1060043	CL-C	Mesenchymal	GPM
GSM1060044	NL	Neural	NEU
GSM1060045	CL-C	Neural	MTC
GSM1060046	MES	Classical	GPM
GSM1060047	MES	Neural	MTC
GSM1060048	MES	Mesenchymal	GPM
GSM1060049	MES	Classical	GPM
GSM1060050	MES	Classical	GPM
GSM1060051	CL-C	Proneural	PPR
GSM1060052	CL-A	Classical	PPR
GSM1060053	MES	Mesenchymal	NEU
GSM1060054	MES	Mesenchymal	GPM
GSM1060055	MES	Mesenchymal	GPM
GSM1060056	CL-C	Proneural	MTC
GSM1060057	PN	Proneural	PPR
GSM1236869	NL	Neural	MTC
GSM1236870	CL-A	Classical	GPM
GSM1236871	MES	Mesenchymal	GPM
GSM1236872	PN	Classical	PPR
GSM1236873	CL-C	Neural	NEU
GSM1236874	NL	Mesenchymal	MTC
GSM1236875	NL	Neural	MTC
GSM1236876	CL-A	Classical	PPR
GSM1236877	MES	Mesenchymal	GPM
GSM1236878	CL-C	Neural	PPR
GSM1236879	MES	Mesenchymal	GPM
GSM1236880	MES	Mesenchymal	GPM
GSM1236881	MES	Classical	MTC
GSM1236882	CL-A	Classical	PPR
GSM1236883	NL	Proneural	NEU
GSM1236884	CL-B	Classical	GPM
GSM1236885	CL-A	Classical	MTC
GSM1236886	MES	Mesenchymal	GPM
GSM1236887	NL	Proneural	NEU
GSM1236888	MES	Mesenchymal	GPM
GSM1236889	NL	Proneural	NEU
GSM1236890	MES	Mesenchymal	GPM
GSM1236891	CL-A	Classical	PPR
GSM1236892	MES	Mesenchymal	GPM
GSM1236893	PN	Proneural	PPR
GSM1236894	CL-B	Proneural	NEU
GSM1236895	MES	Mesenchymal	GPM
GSM1236896	CL-B	Mesenchymal	GPM
GSM1236897	PN	Proneural	PPR
GSM1236898	PN	Classical	MTC
GSM1236899	NL	Neural	NEU
GSM1236900	PN	Proneural	PPR
GSM1236901	CL-C	Neural	NEU
GSM1236902	CL-C	Neural	MTC
GSM1236903	CL-B	Classical	MTC
GSM1236904	MES	Mesenchymal	GPM
GSM1236905	CL-B	Mesenchymal	GPM
GSM1236906	CL-C	Classical	MTC
GSM1236907	CL-C	Classical	GPM
GSM1236908	CL-A	Classical	PPR
GSM1236909	CL-A	Classical	PPR
GSM1236910	CL-B	Proneural	MTC
GSM1236911	CL-C	Classical	PPR
GSM1236912	PN	Classical	PPR
GSM1236913	CL-A	Classical	GPM
GSM1236914	CL-B	Classical	MTC
GSM1236915	CL-B	Classical	MTC
GSM1236916	CL-C	Classical	PPR
GSM1236917	NL	Classical	MTC
GSM1236918	CL-A	Mesenchymal	GPM
GSM1236919	PN	Classical	PPR
GSM1236920	CL-C	Classical	MTC
